	SRR8030895	SRR8030905	SRR8030910	SRR8030915	SRR8030917	SRR8030929	SRR8030936	SRR8030942	SRR8030948	SRR8030953	SRX4863553	SRX4863541	SRX4863548	SRX4863549	SRX4863538	SRX4863536	SRX4863563	SRX4863539	SRX4863537	SRX4863534	SRX4863565	SRX4863559	SRX4863547	SRX4863543	SRX4863554	SRX4863544	SRX4863551	SRX4863550	SRX4863557	SRX4863556	SRX4863560
abs.beta.Macrophages.M0	0.0	0.0	0.0	0.00103038959765093	0.00128706288992656	0.0	0.0	0.004309853245347391	0.0	0.0006228492926344903	0.0	0.0	0.0	0.000900412565609749	0.000254817516212831	0.00420893104395504	0.000754931066842666	0.00188972753193215	0.003371185671942	0.0	0.00358377476313076	0.00041263387716693797	0.0013303774516577	0.0	0.0	0.0	0.0	0.00253322323542554	0.0	0.0013052724437354595	0.0029794959561768395
Macrophages_M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000503690800604202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0	0.0	0.0	0.0014116245685008898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012006930291208302	0.0	0.0
abs.beta.Dendritic.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.Dendritic.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.Mast.cells.resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
abs.beta.Mast.cells.activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0029614028801184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00351089430779404	0.0	0.0	0.0	0.0048742704922888	0.000350690547097266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T_cells	0.0	5.1759191664609006	4.9914636051849515	0.2869423625256438	0.1868703627397853	0.3108563184916895	0.06268562437060911	0.08940406235902915	0.03889684799270657	0.060554063233087436	0.3621008815071841	4.891683036668837	0.2139760387627364	0.17232533190128335	0.0	0.0	0.05146239140518178	0.0	0.0	0.0	0.050890033679130364	0.07304940467969187	0.13069930690468545	0.261562543938572	0.3244910742064645	0.29031822808240393	0.1952649459293101	0.15512383774986127	0.07546368318367044	0.08558955866505745	0.07929600563543883
CD4_T_cells	0.0	2.79840836954195	2.59340761906134	0.2869423625256438	0.1868703627397853	0.25266828047576023	0.03991909487750061	0.06494360945372714	0.01942757671184427	0.03789371296099014	0.30983440392473	2.8092159994967694	0.19078803125575847	0.1671511049830468	0.0	0.0	0.04516355314549512	0.0	0.0	0.0	0.022607140160923137	0.03428134802351356	0.12201357468406385	0.2476263884601048	0.28484031406514804	0.2301044141675312	0.1952649459293101	0.121313070832086	0.053933993950116735	0.07770099385852601	0.05474189414053443
Macrophages	0.0	0.0	0.0	0.00103038959765093	0.0026986874584274496	0.0	0.0	0.004309853245347391	0.0	0.0006228492926344903	0.0	0.0	0.0	0.000900412565609749	0.000254817516212831	0.00420893104395504	0.000754931066842666	0.0023934183325363518	0.003371185671942	0.0	0.00358377476313076	0.00041263387716693797	0.0013303774516577	0.0	0.0	0.0	0.0	0.00253322323542554	0.0012006930291208302	0.0013052724437354595	0.0029794959561768395
NK_cells	0.0	3.698039723792261	3.649757315156759	0.13950039732967	0.08690366885661449	0.26592726469212663	0.042983252747105696	0.025143686696695804	0.0109061695761539	0.0233177891051676	0.280131498987015	4.664292643857994	0.0927959491126608	0.084335218112704	0.0	0.0	0.0103487527711949	0.0	0.0	0.0	0.015544781023813991	0.014224210641301397	0.11154143681940598	0.126584140424762	0.26691520951614	0.11897503684758899	0.110208654811719	0.0685986080091295	0.029230935792635294	0.0413412670927971	0.0046278177629135
B_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dendritic_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lymphocytes	0.0	8.87395889025316	8.64122092034171	0.42644275985531377	0.27377403159639985	0.5767835831838162	0.1056688771177148	0.11454774905572493	0.04980301756886047	0.08387185233825505	0.6422323804941992	9.555975680526833	0.3067719878753972	0.2566605500139873	0.0	0.0	0.0618111441763767	0.0	0.0	0.0	0.06643481470294434	0.08727361532099326	0.2422407437240914	0.38814668436333394	0.5914062837226045	0.4092932649299929	0.3054736007410291	0.22372244575899072	0.10469461897630572	0.12693082575785455	0.08392382339835233
Non_plasma_B_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
