	SRR6337113	SRR6337114	SRR6337115	SRR6337116	SRR6337117	SRR6337118	SRR6337119	SRR6337120	SRR6337121
B cells naive	2.35180131785333	1.6112557378611898	4.26030235810304	5.803305031837291	3.23408152674429	5.43124216141683	4.8754070135722	9.91919301294354	5.991645062544251
B cells memory	0.7588924937555049	1.63593370058969	0.699652127262519	0.0	0.0	0.0	0.0	0.0	0.0
Plasma_B_cells	3.2273991918390497	1.49082233372939	0.0	0.0	2.7495439469424396	0.43528779729044803	0.24933502802117505	1.5502008735516402	1.1157129175450702
CD8_T_cells	23.063931456929897	23.230448884505105	35.4356135339504	38.792027031299	29.614027816740304	46.6087479999379	30.411700574846602	18.831428721014603	32.9632495011339
T cells CD4 naive	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells CD4 memory resting	19.261101638859905	14.310952502718804	6.3505828146774315	3.64973850515615	7.00043936449487	0.120276760166928	7.63972315707543	12.9120011435043	10.4628639874136
T cells CD4 memory activated	0.0	0.193204729595844	2.15402735557296	0.68822776099025	0.0	0.552286611654263	0.0	0.595675343516046	0.592773232774781
T cells follicular helper	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
T cells regulatory (Tregs)	1.24134217578743	7.135668694236951	0.0	0.0	1.17809372635574	0.0	0.15275684458839497	2.01311107101975	0.8439730790243429
T cells gamma delta	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NK cells resting	3.86511764935486	7.788242218616281	15.383343331305001	9.26456217697808	4.4660876685657405	12.004893674192	17.2165594366474	4.3935450744228	11.0699602292146
NK cells activated	0.44487588143960893	0.260192594247409	0.0	0.0	1.1968157791311298	0.0	1.83942914305396	0.0	0.0
Monocytes	43.24410650303071	38.6418480248589	30.9935824198557	37.9239930329545	47.0073302870089	33.039988752357104	35.1021397831813	46.833502033555	35.0138571938973
Macrophages M0	0.230668535443198	2.4491610690548398	2.02090163042185	0.763448615356027	0.893473653277912	0.553164789052534	0.8068319340010991	0.8899499486191759	0.5623754734999339
Macrophages_M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Macrophages_M2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dendritic cells resting	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dendritic cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mast cells resting	2.31076315570643	0.326071097046104	2.7019944288511604	2.3978425274897	2.66010623073865	1.25411145393196	1.7061170850124998	2.0613927778531003	1.38358932295224
Mast cells activated	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Eosinophils	0.0	0.926198412939614	0.0	0.716855317938966	0.0	0.0	0.0	0.0	0.0
Neutrophils	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P-value	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Correlation	78.8521382996698	75.46586398188711	70.53727607249171	71.41188525376202	76.60341520866972	74.01006457038291	72.8790868750653	76.8586221981657	75.08960089317243
RMSE	67.6920009872462	70.26964516968411	72.91974762491891	72.4005396146147	68.9298290916521	69.63947272917869	70.85590158383678	69.33811243668922	69.81286167749872
T_cells	43.56637527157722	44.8702748110567	43.94022370420079	43.1299932974454	37.792560907590904	47.28131137175909	38.20418057651042	34.3522162790547	44.86285980034661
Macrophages	0.230668535443198	2.4491610690548398	2.02090163042185	0.763448615356027	0.893473653277912	0.553164789052534	0.8068319340010991	0.8899499486191759	0.5623754734999339
NK_cells	4.309993530794468	8.048434812863691	15.383343331305001	9.26456217697808	5.662903447696871	12.004893674192	19.05598857970136	4.3935450744228	11.0699602292146
Dendritic_cells	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mast_cells	2.31076315570643	0.326071097046104	2.7019944288511604	2.3978425274897	2.66010623073865	1.25411145393196	1.7061170850124998	2.0613927778531003	1.38358932295224
B_cells	6.338093003447884	4.738011772180269	4.959954485365559	5.803305031837291	5.983625473686731	5.866529958707278	5.124742041593374	11.46939388649518	7.1073579800893185
CD4_T_cells	20.50244381464733	21.639825926551605	8.50461017025039	4.3379662661464	8.17853309085061	0.672563371821191	7.792480001663826	15.520787558040096	11.899610299212725
Lymphocytes	54.214461805819575	57.65672139610066	64.28352152087135	58.197860506260774	49.4390898289745	65.15273500465835	62.38491119780516	50.21515523997267	63.040178009650546
Non_plasma_B_cells	3.1106938116088347	3.24718943845088	4.959954485365559	5.803305031837291	3.23408152674429	5.43124216141683	4.8754070135722	9.91919301294354	5.991645062544251
